"Zipcode","time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipProbability","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","dewPoint","windSpeed","windBearing","humidity","pressure","visibility","cloudCover","precipIntensityMax","precipIntensityMaxTime","precipType","precipAccumulation","ozone"
32615,2012-12-31 23:00:00,"Mostly cloudy until afternoon.","partly-cloudy-day",2013-01-01 06:26:37,2013-01-01 16:42:59,0.63,1e-04,0.03,51.27,2012-12-31 23:00:00,73.92,2013-01-01 05:00:00,51.27,2012-12-31 23:00:00,73.92,2013-01-01 05:00:00,54.35,6.42,217,0.75,1018.33,9.38,0.4,0.0014,2013-01-01 10:00:00,"rain",NA,NA
32615,2013-01-01 23:00:00,"Mostly cloudy throughout the day.","partly-cloudy-day",2013-01-02 06:26:49,2013-01-02 16:43:41,0.67,0,0,57.52,2013-01-02 01:00:00,74.62,2013-01-02 12:00:00,57.52,2013-01-02 01:00:00,74.62,2013-01-02 12:00:00,60.34,3.91,238,0.85,1016.74,9.23,0.63,0,NA,NA,NA,NA
32615,2013-01-02 23:00:00,"Light rain in the morning and afternoon.","rain",2013-01-03 06:27:00,2013-01-03 16:44:24,0.7,0.0048,0.6,49.55,2013-01-03 21:00:00,63.53,2013-01-02 23:00:00,47.26,2013-01-03 21:00:00,63.53,2013-01-02 23:00:00,55.44,5.38,12,0.93,1020.44,6.17,1,0.0224,2013-01-03 15:00:00,"rain",NA,NA
32615,2013-01-03 23:00:00,"Mostly cloudy until evening.","partly-cloudy-day",2013-01-04 06:27:10,2013-01-04 16:45:07,0.74,0,0,46.34,2013-01-04 07:00:00,58.14,2013-01-04 13:00:00,43.52,2013-01-04 07:00:00,58.14,2013-01-04 13:00:00,46.32,5.32,7,0.85,9.36,0.54,0,1025.33,NA,NA,NA,NA
32615,2013-01-04 23:00:00,"Mostly cloudy starting in the evening.","partly-cloudy-night",2013-01-05 06:27:18,2013-01-05 16:45:52,0.77,0,0,41.54,2013-01-05 05:00:00,67.37,2013-01-05 15:00:00,38.41,2013-01-05 06:00:00,67.37,2013-01-05 15:00:00,44.13,4.2,42,0.73,1025.98,9.56,0.17,0,NA,NA,NA,NA
32615,2013-01-05 23:00:00,"Light rain in the evening.","rain",2013-01-06 06:27:24,2013-01-06 16:46:37,0.81,0.0023,0.56,54.63,2013-01-06 22:00:00,63.11,2013-01-06 12:00:00,54.63,2013-01-06 22:00:00,63.11,2013-01-06 12:00:00,52.97,4.15,8,0.85,9.35,0.91,0.0162,1021.85,2013-01-06 19:00:00,"rain",NA,NA
32615,2013-01-06 23:00:00,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",2013-01-07 06:27:29,2013-01-07 16:47:24,0.85,0,0,47.58,2013-01-07 07:00:00,62.84,2013-01-07 14:00:00,44.23,2013-01-07 07:00:00,62.84,2013-01-07 14:00:00,46.84,6.95,34,0.76,9.97,0.38,0,1023.77,NA,NA,NA,NA
32615,2013-01-07 23:00:00,"Mostly cloudy throughout the day.","partly-cloudy-day",2013-01-08 06:27:32,2013-01-08 16:48:11,0.89,0,0,54.96,2013-01-08 05:00:00,76.17,2013-01-08 13:00:00,54.96,2013-01-08 05:00:00,76.17,2013-01-08 13:00:00,58.02,6.05,52,0.83,1023.37,8.97,0.83,0,NA,NA,NA,NA
32615,2013-01-08 23:00:00,"Foggy in the morning.","fog",2013-01-09 06:27:34,2013-01-09 16:48:58,0.92,1e-04,0.03,63.42,2013-01-09 04:00:00,79.2,2013-01-09 15:00:00,63.42,2013-01-09 04:00:00,79.2,2013-01-09 15:00:00,65.35,4.74,77,0.88,1025.05,7.03,0.89,0.0014,2013-01-09 18:00:00,"rain",NA,NA
32615,2013-01-09 23:00:00,"Mostly cloudy throughout the day.","partly-cloudy-day",2013-01-10 06:27:34,2013-01-10 16:49:46,0.96,1e-04,0.03,65.52,2013-01-10 22:00:00,81.36,2013-01-10 13:00:00,65.52,2013-01-10 22:00:00,82.29,2013-01-10 13:00:00,64.23,5.17,97,0.8,1025.86,7.63,0.66,0.0014,2013-01-10 21:00:00,"rain",NA,NA
32615,2013-01-10 23:00:00,"Partly cloudy overnight.","partly-cloudy-night",2013-01-11 06:27:32,2013-01-11 16:50:35,0.99,0,0,57.1,2013-01-11 06:00:00,81.92,2013-01-11 14:00:00,57.1,2013-01-11 06:00:00,81.68,2013-01-11 14:00:00,59.66,4,160,0.77,1023.08,8.08,0.24,0,NA,NA,NA,NA
32615,2013-01-11 23:00:00,"Foggy in the morning.","fog",2013-01-12 06:27:29,2013-01-12 16:51:24,0.04,0,0,57.17,2013-01-12 04:00:00,81.41,2013-01-12 15:00:00,57.17,2013-01-12 04:00:00,81.49,2013-01-12 15:00:00,59.05,3.37,143,0.77,1021.11,7.9,0.37,0,NA,NA,NA,NA
32615,2013-01-12 23:00:00,"Mostly cloudy in the morning.","partly-cloudy-night",2013-01-13 06:27:25,2013-01-13 16:52:14,0.07,0,0,59.17,2013-01-13 01:00:00,79.79,2013-01-13 13:00:00,59.17,2013-01-13 01:00:00,79.79,2013-01-13 13:00:00,59.47,3.64,147,0.77,1019.74,9.13,0.36,0,NA,NA,NA,NA
