"Zipcode","time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipProbability","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","dewPoint","windSpeed","windBearing","humidity","pressure","visibility","cloudCover","precipIntensityMax","precipIntensityMaxTime","precipType","precipAccumulation","ozone"
70583,2013-01-01 00:00:00,"Rain until afternoon.","rain",2013-01-01 07:06:06,2013-01-01 17:20:23,0.64,0.0329,0.84,45.68,2013-01-01 23:00:00,68.7,2013-01-01 03:00:00,39.54,2013-01-01 23:00:00,68.7,2013-01-01 03:00:00,52.44,8.41,355,0.89,1017.34,8.56,0.99,0.199,2013-01-01 06:00:00,"rain",NA,NA
70583,2013-01-02 00:00:00,"Light rain starting in the afternoon, continuing until evening.","rain",2013-01-02 07:06:19,2013-01-02 17:21:06,0.67,0.0028,0.55,42.15,2013-01-02 22:00:00,49.49,2013-01-02 00:00:00,36.73,2013-01-02 19:00:00,44.6,2013-01-02 00:00:00,40.49,10.26,1,0.84,1022.46,9.94,0.95,0.0154,2013-01-02 17:00:00,"rain",NA,NA
70583,2013-01-03 00:00:00,"Mostly cloudy overnight.","partly-cloudy-night",2013-01-03 07:06:29,2013-01-03 17:21:49,0.7,0,0,39.68,2013-01-03 07:00:00,51.85,2013-01-03 15:00:00,33.43,2013-01-03 07:00:00,51.85,2013-01-03 15:00:00,33.33,10.66,14,0.67,1026.93,10,0.25,0,NA,NA,NA,NA
70583,2013-01-04 00:00:00,"Mostly cloudy throughout the day.","partly-cloudy-day",2013-01-04 07:06:38,2013-01-04 17:22:33,0.74,0,0,38.03,2013-01-04 04:00:00,54.63,2013-01-04 14:00:00,32.05,2013-01-04 04:00:00,54.63,2013-01-04 14:00:00,31.16,8.06,25,0.56,9.99,0.71,0,1029.41,NA,NA,NA,NA
70583,2013-01-05 00:00:00,"Rain overnight.","rain",2013-01-05 07:06:46,2013-01-05 17:23:18,0.78,0.0012,0.55,45.86,2013-01-05 20:00:00,51.54,2013-01-05 12:00:00,41.33,2013-01-05 20:00:00,51.54,2013-01-05 12:00:00,38.79,7.8,24,0.72,1025.98,9.27,0.97,0.0154,2013-01-05 16:00:00,"rain",NA,NA
70583,2013-01-06 00:00:00,"Heavy rain in the morning.","rain",2013-01-06 07:06:52,2013-01-06 17:24:04,0.81,0.0231,0.85,43.7,2013-01-06 23:00:00,53.68,2013-01-06 16:00:00,39.42,2013-01-06 07:00:00,53.68,2013-01-06 16:00:00,43.38,9.75,14,0.84,8.59,0.73,0.2209,1024.37,2013-01-06 04:00:00,"rain",NA,NA
70583,2013-01-07 00:00:00,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",2013-01-07 07:06:56,2013-01-07 17:24:51,0.85,0,0,39.08,2013-01-07 07:00:00,58.85,2013-01-07 15:00:00,34.98,2013-01-07 05:00:00,58.85,2013-01-07 15:00:00,39.97,5.79,56,0.71,9.66,0.39,0,1024.31,NA,NA,NA,NA
70583,2013-01-08 00:00:00,"Rain throughout the day.","rain",2013-01-08 07:06:59,2013-01-08 17:25:38,0.89,0.065,0.83,52.98,2013-01-08 00:00:00,63.34,2013-01-08 17:00:00,52.98,2013-01-08 00:00:00,63.34,2013-01-08 17:00:00,53.74,6.11,89,0.87,1019.35,7.18,0.7,0.1806,2013-01-08 22:00:00,"rain",NA,NA
70583,2013-01-09 00:00:00,"Rain in the morning and evening.","rain",2013-01-09 07:07:00,2013-01-09 17:26:26,0.93,0.0182,0.76,61.51,2013-01-09 00:00:00,70.49,2013-01-09 23:00:00,61.51,2013-01-09 00:00:00,70.49,2013-01-09 23:00:00,63.98,6.86,97,0.94,1018.4,6.65,0.93,0.0871,2013-01-09 23:00:00,"rain",NA,NA
70583,2013-01-10 00:00:00,"Heavy rain until afternoon.","rain",2013-01-10 07:07:00,2013-01-10 17:27:15,0.96,0.0889,0.9,63.87,2013-01-10 11:00:00,72.49,2013-01-10 03:00:00,63.87,2013-01-10 11:00:00,72.49,2013-01-10 03:00:00,65.05,3.97,141,0.95,1017.3,5.62,0.99,0.5619,2013-01-10 06:00:00,"rain",NA,NA
