"Zipcode","time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipProbability","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","dewPoint","windSpeed","windBearing","humidity","pressure","visibility","cloudCover","precipIntensityMax","precipIntensityMaxTime","precipType","precipAccumulation","ozone"
85086,2013-01-01 01:00:00,"Clear throughout the day.","clear-day",2013-01-01 08:34:47,2013-01-01 18:31:55,0.64,0,0,32.69,2013-01-01 03:00:00,53.89,2013-01-01 12:00:00,27.2,2013-01-01 04:00:00,53.89,2013-01-01 12:00:00,25.5,3.8,8,0.48,1021.8,9.72,0.09,0,NA,NA,NA,NA
85086,2013-01-02 01:00:00,"Clear throughout the day.","clear-day",2013-01-02 08:34:57,2013-01-02 18:32:40,0.67,0,0,38.32,2013-01-02 08:00:00,61.96,2013-01-02 17:00:00,34.76,2013-01-02 08:00:00,61.96,2013-01-02 17:00:00,17.48,4.59,20,0.3,1018.09,9.99,0.02,0,NA,NA,NA,NA
85086,2013-01-03 01:00:00,"Clear throughout the day.","clear-day",2013-01-03 08:35:05,2013-01-03 18:33:26,0.71,0,0,42.46,2013-01-03 02:00:00,61.22,2013-01-03 17:00:00,38.88,2013-01-03 03:00:00,61.22,2013-01-03 17:00:00,12.99,9.63,34,0.23,1018.82,9.99,0,0,NA,NA,NA,NA
85086,2013-01-04 01:00:00,"Clear throughout the day.","clear-day",2013-01-04 08:35:11,2013-01-04 18:34:13,0.74,0,0,38.48,2013-01-04 09:00:00,58,2013-01-04 17:00:00,33.24,2013-01-04 09:00:00,58,2013-01-04 17:00:00,17.82,4.37,44,0.31,10,0,0,1023.59,NA,NA,NA,NA
85086,2013-01-05 01:00:00,"Clear throughout the day.","clear-day",2013-01-05 08:35:16,2013-01-05 18:35:01,0.78,0,0,35.46,2013-01-05 08:00:00,60.39,2013-01-05 17:00:00,30.36,2013-01-05 08:00:00,60.39,2013-01-05 17:00:00,21.69,2.51,24,0.38,1024.28,10,0.01,0,NA,NA,NA,NA
85086,2013-01-06 01:00:00,"Clear throughout the day.","clear-day",2013-01-06 08:35:18,2013-01-06 18:35:50,0.81,0,0,40.62,2013-01-06 06:00:00,63.89,2013-01-06 17:00:00,39.66,2013-01-06 03:00:00,63.89,2013-01-06 17:00:00,22.58,1.49,134,0.35,10,0.12,0,1017.42,NA,NA,NA,NA
85086,2013-01-07 01:00:00,"Clear throughout the day.","clear-day",2013-01-07 08:35:19,2013-01-07 18:36:40,0.85,0,0,37.5,2013-01-07 07:00:00,59.79,2013-01-07 17:00:00,33.44,2013-01-07 07:00:00,59.79,2013-01-07 17:00:00,25.85,1.52,252,0.42,10,0.13,0,1012.17,NA,NA,NA,NA
85086,2013-01-08 01:00:00,"Clear throughout the day.","clear-day",2013-01-08 08:35:18,2013-01-08 18:37:31,0.89,0,0,37.18,2013-01-08 09:00:00,64.77,2013-01-08 17:00:00,33.78,2013-01-08 09:00:00,64.77,2013-01-08 17:00:00,23.17,0.67,137,0.37,1015.05,9.99,0.04,0,NA,NA,NA,NA
85086,2013-01-09 01:00:00,"Partly cloudy in the evening.","partly-cloudy-night",2013-01-09 08:35:15,2013-01-09 18:38:23,0.93,0,0,40.25,2013-01-09 08:00:00,70.99,2013-01-09 17:00:00,39.06,2013-01-09 06:00:00,70.99,2013-01-09 17:00:00,26.44,1.47,53,0.37,1018.19,9.99,0.1,0,NA,NA,NA,NA
85086,2013-01-10 01:00:00,"Mostly cloudy throughout the day.","partly-cloudy-night",2013-01-10 08:35:11,2013-01-10 18:39:16,0.96,1e-04,0.03,43.53,2013-01-10 08:00:00,58.07,2013-01-10 15:00:00,41.99,2013-01-10 07:00:00,58.07,2013-01-10 15:00:00,27.59,0.51,165,0.41,1011.06,9.98,0.36,0.0015,2013-01-10 22:00:00,"rain",NA,NA
85086,2013-01-11 01:00:00,"Clear throughout the day.","clear-day",2013-01-11 08:35:05,2013-01-11 18:40:09,0.01,0,0,36.3,2013-01-11 09:00:00,51.33,2013-01-11 16:00:00,34.19,2013-01-12 00:00:00,51.33,2013-01-11 16:00:00,14.93,6.26,258,0.33,1015.44,10,0.14,0,NA,NA,NA,NA
85086,2013-01-12 01:00:00,"Clear throughout the day.","clear-day",2013-01-12 08:34:56,2013-01-12 18:41:03,0.04,0,0,28.33,2013-01-12 06:00:00,49.61,2013-01-12 17:00:00,23.06,2013-01-12 06:00:00,45.39,2013-01-12 17:00:00,10.16,1.74,248,0.33,1017.31,10,0.05,0,NA,NA,NA,NA
85086,2013-01-13 01:00:00,"Clear throughout the day.","clear-day",2013-01-13 08:34:47,2013-01-13 18:41:58,0.08,0,0,26.74,2013-01-13 07:00:00,47.12,2013-01-13 17:00:00,19.8,2013-01-13 09:00:00,43.94,2013-01-13 17:00:00,8.47,0.2,316,0.33,1018.69,9.93,0.08,0,NA,NA,NA,NA
85086,2013-01-14 01:00:00,"Clear throughout the day.","clear-day",2013-01-14 08:34:35,2013-01-14 18:42:54,0.11,0,0,26.89,2013-01-14 08:00:00,43.17,2013-01-14 18:00:00,20.29,2013-01-14 04:00:00,39.61,2013-01-14 18:00:00,7.87,2.26,211,0.33,1020.9,9.92,0.07,0,NA,NA,NA,NA
85086,2013-01-15 01:00:00,"Clear throughout the day.","clear-day",2013-01-15 08:34:21,2013-01-15 18:43:50,0.15,0,0,28.55,2013-01-15 08:00:00,49.05,2013-01-15 18:00:00,23.85,2013-01-15 07:00:00,46.06,2013-01-15 18:00:00,0.71,2.77,343,0.21,1027.5,9.99,0.04,0,NA,NA,NA,NA
85086,2013-01-16 01:00:00,"Clear throughout the day.","clear-day",2013-01-16 08:34:06,2013-01-16 18:44:46,0.18,0,0,32.3,2013-01-16 08:00:00,59.13,2013-01-16 17:00:00,28.79,2013-01-16 09:00:00,59.13,2013-01-16 17:00:00,12.22,1.53,357,0.28,1026.33,10,0.04,0,NA,NA,NA,NA
85086,2013-01-17 01:00:00,"Clear throughout the day.","clear-day",2013-01-17 08:33:49,2013-01-17 18:45:43,0.21,0,0,39.9,2013-01-17 09:00:00,71.43,2013-01-17 17:00:00,36.32,2013-01-17 08:00:00,71.43,2013-01-17 17:00:00,20,4.26,42,0.28,1021.91,9.99,0.01,0,NA,NA,NA,NA
85086,2013-01-18 01:00:00,"Clear throughout the day.","clear-day",2013-01-18 08:33:30,2013-01-18 18:46:41,0.24,0,0,44.9,2013-01-18 06:00:00,72.93,2013-01-18 17:00:00,40.13,2013-01-18 08:00:00,72.93,2013-01-18 17:00:00,21.92,3.75,30,0.26,1020.24,10,0.05,0,NA,NA,NA,NA
85086,2013-01-19 01:00:00,"Clear throughout the day.","clear-day",2013-01-19 08:33:10,2013-01-19 18:47:39,0.27,0,0,43.23,2013-01-19 08:00:00,73.17,2013-01-19 17:00:00,43.23,2013-01-19 08:00:00,73.17,2013-01-19 17:00:00,23.49,3.2,28,0.29,1020.17,10,0.04,0,NA,NA,NA,NA
