"Zipcode","time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipProbability","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","dewPoint","windSpeed","windBearing","humidity","pressure","visibility","cloudCover","precipIntensityMax","precipIntensityMaxTime","precipType","precipAccumulation","ozone"
70506,2013-01-01 00:00:00,"Rain until afternoon.","rain",2013-01-01 07:05:47,2013-01-01 17:20:09,0.64,0.0321,0.84,45.34,2013-01-01 23:00:00,68.38,2013-01-01 03:00:00,39.18,2013-01-01 23:00:00,68.38,2013-01-01 03:00:00,51.81,9.07,357,0.88,1017.36,8.56,0.99,0.2005,2013-01-01 06:00:00,"rain",NA,NA
70506,2013-01-02 00:00:00,"Light rain starting in the afternoon, continuing until evening.","rain",2013-01-02 07:05:59,2013-01-02 17:20:52,0.67,0.0027,0.55,42.06,2013-01-02 22:00:00,49.23,2013-01-02 00:00:00,36.63,2013-01-02 19:00:00,44.2,2013-01-02 00:00:00,39.84,10.18,2,0.83,1022.49,9.97,0.95,0.0153,2013-01-02 16:00:00,"rain",NA,NA
70506,2013-01-03 00:00:00,"Mostly cloudy overnight.","partly-cloudy-night",2013-01-03 07:06:10,2013-01-03 17:21:35,0.7,0,0,39.36,2013-01-03 07:00:00,51.44,2013-01-03 15:00:00,32.92,2013-01-03 07:00:00,51.44,2013-01-03 15:00:00,32.74,11,16,0.65,1026.93,10,0.26,0,NA,NA,NA,NA
70506,2013-01-04 00:00:00,"Mostly cloudy throughout the day.","partly-cloudy-day",2013-01-04 07:06:19,2013-01-04 17:22:19,0.74,0,0,37.54,2013-01-04 04:00:00,54.77,2013-01-04 14:00:00,31.53,2013-01-04 04:00:00,54.77,2013-01-04 14:00:00,30.66,8.05,25,0.56,9.99,0.72,0,1029.42,NA,NA,NA,NA
70506,2013-01-05 00:00:00,"Heavy rain starting in the afternoon.","rain",2013-01-05 07:06:26,2013-01-05 17:23:04,0.78,0.0014,0.53,45.48,2013-01-05 20:00:00,50.83,2013-01-05 12:00:00,40.88,2013-01-05 20:00:00,50.83,2013-01-05 12:00:00,38.24,7.66,25,0.72,1026,9.17,0.98,0.0134,2013-01-05 16:00:00,"rain",NA,NA
70506,2013-01-06 00:00:00,"Heavy rain in the morning.","rain",2013-01-06 07:06:32,2013-01-06 17:23:50,0.81,0.0283,0.86,42.92,2013-01-06 23:00:00,53.36,2013-01-06 16:00:00,38.86,2013-01-06 07:00:00,53.36,2013-01-06 16:00:00,42.85,9.79,17,0.83,8.48,0.72,0.2596,1024.38,2013-01-06 04:00:00,"rain",NA,NA
70506,2013-01-07 00:00:00,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",2013-01-07 07:06:37,2013-01-07 17:24:36,0.85,0,0,38.15,2013-01-07 07:00:00,58.44,2013-01-07 15:00:00,33.72,2013-01-07 05:00:00,58.44,2013-01-07 15:00:00,39.07,5.65,56,0.69,9.55,0.4,0,1024.31,NA,NA,NA,NA
70506,2013-01-08 00:00:00,"Rain throughout the day.","rain",2013-01-08 07:06:40,2013-01-08 17:25:24,0.89,0.0563,0.83,52.97,2013-01-08 00:00:00,63.18,2013-01-08 17:00:00,52.97,2013-01-08 00:00:00,63.18,2013-01-08 17:00:00,53.04,5.61,91,0.85,1019.34,7.16,0.68,0.1794,2013-01-08 14:00:00,"rain",NA,NA
70506,2013-01-09 00:00:00,"Rain in the morning and evening.","rain",2013-01-09 07:06:41,2013-01-09 17:26:12,0.93,0.0209,0.79,61.26,2013-01-09 00:00:00,70.23,2013-01-09 23:00:00,61.26,2013-01-09 00:00:00,70.23,2013-01-09 23:00:00,63.49,6.14,97,0.93,1018.39,6.49,0.94,0.1072,2013-01-09 23:00:00,"rain",NA,NA
70506,2013-01-10 00:00:00,"Heavy rain until afternoon, starting again overnight.","rain",2013-01-10 07:06:40,2013-01-10 17:27:00,0.96,0.0904,0.9,63.46,2013-01-10 11:00:00,72.23,2013-01-10 03:00:00,63.46,2013-01-10 11:00:00,72.23,2013-01-10 03:00:00,64.73,3.19,144,0.94,1017.3,5.29,0.99,0.5075,2013-01-10 06:00:00,"rain",NA,NA
