"Zipcode","time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipProbability","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","dewPoint","windSpeed","windBearing","humidity","pressure","visibility","cloudCover","precipIntensityMax","precipIntensityMaxTime","precipType","precipAccumulation","ozone"
67846,2013-01-01 00:00:00,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",2013-01-01 08:00:43,2013-01-01 17:35:58,0.64,0.0019,0.69,3.95,2013-01-01 22:00:00,20.27,2013-01-01 09:00:00,-10.01,2013-01-01 20:00:00,11.35,2013-01-01 09:00:00,7.93,5.91,287,0.85,1026.81,8.25,0.29,0.0434,2013-01-01 00:00:00,"snow",0.889,NA
67846,2013-01-02 00:00:00,"Clear throughout the day.","clear-day",2013-01-02 08:00:49,2013-01-02 17:36:46,0.67,0,0,3.95,2013-01-02 04:00:00,31.63,2013-01-02 15:00:00,-10.01,2013-01-02 02:00:00,23.65,2013-01-02 15:00:00,12.12,8.88,295,0.8,1026.4,9.82,0.06,0,NA,NA,NA,NA
67846,2013-01-03 00:00:00,"Clear throughout the day.","clear-day",2013-01-03 08:00:54,2013-01-03 17:37:35,0.7,0,0,8.49,2013-01-03 08:00:00,27.75,2013-01-03 15:00:00,-5.21,2013-01-03 08:00:00,21.78,2013-01-03 15:00:00,10,6.41,282,0.77,1031.6,10,0.05,0,NA,NA,NA,NA
67846,2013-01-04 00:00:00,"Overcast starting in the evening.","cloudy",2013-01-04 08:00:57,2013-01-04 17:38:26,0.74,0,0,0.8,2013-01-04 08:00:00,31.69,2013-01-04 15:00:00,-12.93,2013-01-04 07:00:00,23.53,2013-01-04 15:00:00,10.29,7.16,228,0.75,9.99,0.23,0,1026.96,NA,NA,NA,NA
67846,2013-01-05 00:00:00,"Mostly cloudy in the morning.","partly-cloudy-night",2013-01-05 08:00:57,2013-01-05 17:39:18,0.78,0,0,12.36,2013-01-05 08:00:00,36.75,2013-01-05 15:00:00,0.33,2013-01-05 08:00:00,27.41,2013-01-05 15:00:00,19.3,7.07,301,0.76,1023.33,9.84,0.25,0,NA,NA,NA,NA
67846,2013-01-06 00:00:00,"Clear throughout the day.","clear-day",2013-01-06 08:00:56,2013-01-06 17:40:11,0.81,0,0,13.08,2013-01-06 07:00:00,39.96,2013-01-06 15:00:00,2.65,2013-01-06 07:00:00,32.04,2013-01-06 15:00:00,18.76,6.89,220,0.72,10,0,0,1027.59,NA,NA,NA,NA
67846,2013-01-07 00:00:00,"Clear throughout the day.","clear-day",2013-01-07 08:00:52,2013-01-07 17:41:06,0.85,0,0,28.7,2013-01-07 05:00:00,43.94,2013-01-07 15:00:00,18.78,2013-01-07 05:00:00,37.18,2013-01-07 15:00:00,25.11,11.45,204,0.69,10,0,0,1017.18,NA,NA,NA,NA
67846,2013-01-08 00:00:00,"Clear throughout the day.","clear-day",2013-01-08 08:00:46,2013-01-08 17:42:01,0.89,0,0,24.53,2013-01-08 08:00:00,44.62,2013-01-08 14:00:00,16.16,2013-01-08 08:00:00,40.62,2013-01-08 14:00:00,24.76,4.14,241,0.72,1015.7,10,0,0,NA,NA,NA,NA
67846,2013-01-09 00:00:00,"Mostly cloudy overnight.","partly-cloudy-night",2013-01-09 08:00:39,2013-01-09 17:42:58,0.93,0,0,24.33,2013-01-09 08:00:00,51.38,2013-01-09 15:00:00,16.12,2013-01-09 08:00:00,51.38,2013-01-09 15:00:00,26.69,3.19,351,0.71,1027.71,10,0.03,0,NA,NA,NA,NA
67846,2013-01-10 00:00:00,"Light rain in the morning.","rain",2013-01-10 08:00:29,2013-01-10 17:43:56,0.96,0.0024,0.58,33.56,2013-01-10 07:00:00,39.09,2013-01-10 15:00:00,27.3,2013-01-10 04:00:00,31.82,2013-01-10 15:00:00,34.76,4.47,171,0.93,1013.02,5.89,0.95,0.0182,2013-01-10 05:00:00,"rain",NA,NA
